keyword	volume	cpc	kd	traffic_potential	intent	parent
ama citation generator	21000	2.5	6	44000	Informational,Non-branded,Non-local	ama citation generator
chicago citation generator	19000	0.15	10	83000	Informational,Non-branded,Non-local	chicago citation generator
chicago style citation generator	13000	0.1	10	83000	Informational,Non-branded,Non-local	chicago citation generator
ieee citation generator	12000	0.09	4	16000	Informational,Branded,Non-local	ieee citation
acs citation generator	11000	0.1	2	20000	Informational,Non-branded,Non-local	acs citation generator
turabian citation generator	6100	1.5	2	11000	Informational,Non-branded,Non-local	turabian citation generator
cse citation generator	5900	0.15	1	8400	Informational,Branded,Non-local	cse citation generator
asa citation generator	4400	0.09	4	8400	Informational,Non-branded,Non-local	asa citation generator
bluebook citation generator	3900	2.0	7	5100	Informational,Branded,Non-local	bluebook citation generator
chicago manual of style citation generator	2500	0.5	7	83000	Informational,Branded,Non-local	chicago citation generator
image citation generator	2200	0.5	29	12000	Informational,Non-branded,Non-local	how to cite an image
quillbot citation generator	1500	0.25	39	15000	Informational,Navigational,Branded,Non-local	quillbot citation generator
mla 8 citation generator	1400	0.02	29	2100	Informational,Branded,Non-local	mla 8 citation generator
apsa citation generator	1300	1.0	0	2000	Informational,Branded,Non-local	apsa citation generator
in-text citation generator	1100	1.2	0	93000	Informational,Non-branded,Non-local	references
bibtex citation generator	1000	0.08	33	2800	Informational,Non-branded,Non-local	bibtex citation generator
harvard citation generator	1000	2.0	17	6100	Informational,Non-branded,Non-local	harvard referencing
nlm citation generator	900	2.0	0	1500	Informational,Branded,Non-local	nlm citation generator
purdue owl citation generator	900	1.0	13	17000	Informational,Navigational,Branded,Non-local	purdue owl citation
citation generator ama	700	2.5	16	44000	Informational,Branded,Non-local	ama citation generator
chicago manual style citation generator	700	0.3	17	91000	Informational,Branded,Non-local	chicago citation generator
vancouver citation generator	700	1.8	3	2400	Informational,Non-branded,Non-local	vancouver style citation
chicago turabian citation generator	600	0.15	4	10000	Informational,Non-branded,Local	turabian citation generator
asme citation generator	500	1.5	0	200	Informational,Branded,Non-local	asme citation generator
cms citation generator	500	0.3	17	89000	Informational,Non-branded,Non-local	chicago citation generator
free chicago citation generator	500	0.09	20	19000	Informational,Non-branded,Non-local	chicago style citation
aiaa citation generator	400	2.5	0	250	Informational,Branded,Non-local	aiaa reference format
scientific citation generator	400	0.45	35	8400	Informational,Non-branded,Non-local	cse citation generator
apa image citation generator	350	0.08	14	11000	Informational,Non-branded,Non-local	how to cite a picture
legal citation generator	350	1.7	23	5100	Informational,Non-branded,Non-local	bluebook citation generator
mybib free citation generator	350	0.06	1	682000	Informational,Navigational,Branded,Non-local	citation generator
asm citation generator	350	1.8	0	500	Informational,Branded,Non-local	asm citation generator
mla image citation generator	350	0.02	34	2600	Informational,Branded,Non-local	image citation generator
asce citation generator	300	3.5	0	400	Informational,Branded,Non-local	asce citation machine
chicago footnote citation generator	300	1.6	7	78000	Informational,Non-branded,Local	chicago citation generator
chicago author date citation generator	300	0.15	6	350	Informational,Non-branded,Non-local	chicago author date citation
acs style citation generator	300	2.0	2	20000	Informational,Branded,Non-local	acs citation generator
acm citation generator	300	3.5	0	200	Informational,Branded,Non-local	acm citation
mla book citation generator	250	0.02	25	6400	Informational,Non-branded,Non-local	mla book citation
harvard style citation generator	250	2.0	15	6200	Informational,Non-branded,Non-local	harvard referencing
citation generator ieee	250	0.09	4	16000	Informational,Branded,Non-local	ieee citation
ap citation generator	250	0.01	0	10	Informational,Branded,Non-local	ap style citation generator
chicago manual citation generator	250	0.3	7	90000	Informational,Branded,Non-local	chicago citation generator
vancouver style citation generator	250	1.8	3	2400	Informational,Non-branded,Non-local	vancouver style citation
mla8 citation generator	250	0.02	28	3000	Informational,Non-branded,Non-local	mla 8 citation generator
ama format citation generator	250	2.5	8	32000	Informational,Branded,Non-local	ama citation generator
song citation generator	250	1.2	17	300	Informational,Non-branded,Non-local	mla song citation generator
poem citation generator	200	1.8	6	800	Informational,Non-branded,Non-local	how to cite a poem
movie citation generator	200	1.1	10	2100	Informational,Non-branded,Non-local	how to cite a movie
pubmed citation generator	200	2.5	4	200	Informational,Branded,Non-local	pubmed citation generator
gsa citation generator	200	3.5	0	200	Informational,Branded,Non-local	gsa citation generator
ecology citation generator	200	0.04	0	100	Informational,Non-branded,Non-local	ecology citation generator
picture citation generator	200	1.9	29	12000	Informational,Non-branded,Non-local	how to cite an image
free ama citation generator	200	2.5	9	32000	Informational,Non-branded,Non-local	ama citation generator
turabian style citation generator	200	2.0	2	9900	Informational,Non-branded,Non-local	turabian citation generator
saa citation generator	200	2.0	0	100	Informational,Non-branded,Non-local	saa citation generator
mla 8th edition citation generator	200	0.04	27	2400	Informational,Branded,Non-local	mla 8 citation
chicago citation generator free	150	0.2	11	22000	Informational,Non-branded,Non-local	chicago style citation
aaa citation generator	150	0.8	0	350	Informational,Branded,Non-local	aaa citation
american political science association citation generator	150	3.0	0	2900	Informational,Branded,Non-local	apsa citation generator
ieee format citation generator	150	2.5	4	9600	Informational,Branded,Non-local	ieee citation generator
sbl citation generator	150	2.5	40	60	Informational,Branded,Non-local	sbl citation generator
nature citation generator	150	5.0	40	250	Informational,Branded,Non-local	nature citation style
jama citation generator	150	2.5	1	150	Informational,Branded,Non-local	jama citation generator
chicago style citation generator free	150	0.09	17	18000	Informational,Non-branded,Non-local	chicago style citation
asa format citation generator	150	0.15	0	9700	Informational,Branded,Non-local	asa citation generator
image mla citation generator	150	1.5	33	2000	Informational,Non-branded,Non-local	image citation generator
mla photo citation generator	150	1.1	31	2200	Informational,Non-branded,Non-local	how to cite an image in mla
citation generator turabian	150	1.5	2	9900	Informational,Non-branded,Non-local	turabian citation generator
jas citation generator	150	7.0	0	200	Informational,Branded,Non-local	journal of animal science citation
youtube video citation generator	150	0.02	2	1340000	Informational,Non-branded,Non-local	apa citation generator
citation generator chicago style	150	0.2	19	87000	Informational,Non-branded,Non-local	chicago citation generator
podcast citation generator	150	1.9	1	700	Informational,Non-branded,Non-local	how to cite a podcast
ama 11th edition citation generator	150	1.8	2	32000	Informational,Non-branded,Non-local	ama citation generator
ama style citation generator	150	2.5	5	32000	Informational,Non-branded,Non-local	ama citation generator
iee citation generator	150	2.5	4	9500	Informational,Branded,Non-local	ieee citation generator
youtube video mla citation generator	100	0.5	25	849000	Informational,Non-branded,Non-local	mla citation generator
alwd citation generator	100	1.9	7	5000	Informational,Commercial,Non-branded,Non-local	bluebook citation generator
aip citation generator	100	7.0	0	60	Informational,Branded,Non-local	aip citation generator
citation generator asa	100	2.5	4	9700	Informational,Branded,Non-local	asa citation generator
podcast apa citation generator	100	1.2	15	350	Informational,Non-branded,Non-local	podcast citation generator
aps citation generator	100	0.35	1	30	Informational,Branded,Non-local	aps citation
free turabian citation generator	100	2.5	2	9900	Informational,Non-branded,Non-local	turabian citation generator
ama 11 citation generator	100	0.0	5	32000	Informational,Branded,Non-local	ama citation generator
mla citation alphabetical order generator	100	2.0	4	2900	Informational,Non-branded,Non-local	alphabetical order sorter
ieee style citation generator	100	2.5	4	16000	Informational,Branded,Non-local	ieee citation
noodletools citation generator	100	0.0	2	4200	Informational,Branded,Non-local	noodletools citation
cse name year citation generator	100	0.0	3	8400	Informational,Branded,Non-local	cse citation generator
asa style citation generator	100	0.1	0	9700	Informational,Branded,Non-local	asa citation generator
acs format citation generator	100	0.05	2	22000	Informational,Branded,Non-local	acs citation generator
american chemical society citation generator	100	2.5	2	22000	Informational,Branded,Non-local	acs citation generator
ama citation generator free	100	2.5	4	32000	Informational,Non-branded,Non-local	ama citation generator
wikipedia citation generator	100	0.25	39	40	Informational,Non-branded,Non-local	wikipedia citation generator
ams citation generator	100	3.5	0	60	Informational,Branded,Non-local	ams citation generator
latex citation generator	90	0.0	40	2700	Informational,Non-branded,Non-local	bibtex generator
cbe citation generator	90	3.5	2	8400	Informational,Non-branded,Non-local	cse citation generator
apa movie citation generator	90	0.08	36	4600	Informational,Non-branded,Non-local	how to cite a video
image citation generator apa	90	1.0	3	10000	Informational,Branded,Non-local	how to cite a picture
oscola citation generator	90	3.0	8	70	Informational,Non-branded,Non-local	oscola citation generator
case citation generator	90	2.0	8	150	Informational,Non-branded,Non-local	case citation generator
cse format citation generator	90	3.5	2	8400	Informational,Branded,Non-local	cse citation generator
book mla citation generator	90	0.09	40	7400	Transactional,Non-branded,Non-local	mla book citation
journal of animal science citation generator	80	3.0	0	200	Informational,Branded,Non-local	journal of animal science citation
free ieee citation generator	80	6.0	4	16000	Informational,Non-branded,Non-local	ieee citation
chicago style footnote citation generator	80	1.3	7	91000	Informational,Non-branded,Non-local	chicago citation generator
chicago style generator citation	80	0.0	9	90000	Informational,Non-branded,Non-local	chicago citation generator
movie mla citation generator	80	1.9	26	2100	Informational,Non-branded,Non-local	how to cite a movie
citation generator acs	80	4.0	3	22000	Informational,Branded,Non-local	acs citation generator
law citation generator	80	2.0	26	5000	Informational,Non-branded,Non-local	bluebook citation generator
youtube mla citation generator	80	0.2	25	814000	Informational,Branded,Non-local	mla citation generator
chicago author-date citation generator	80	2.0	4	31000	Informational,Non-branded,Local	chicago style citation generator
scribber citation generator	80	3.5	6	91000	Informational,Branded,Non-local	references
chicago in-text citation generator	80	2.0	19	83000	Informational,Non-branded,Local	chicago citation generator
chicago citation style generator	70	0.0	10	78000	Informational,Non-branded,Non-local	chicago citation generator
turabian 9th edition citation generator	70	1.5	2	10000	Informational,Non-branded,Non-local	turabian citation generator
university of phoenix citation generator	70	4.5	0	100	Informational,Branded,Non-local	university of phoenix citation generator
cse style citation generator	70	3.5	2	8400	Informational,Branded,Non-local	cse citation generator
court case citation generator	70	2.0	3	150	Informational,Non-branded,Non-local	case citation generator
mla poem citation generator	70	2.0	14	800	Informational,Branded,Non-local	how to cite a poem
citation generator mybib	70	0.0	16	680000	Informational,Navigational,Branded,Non-local	citation generator
citation generator mla 8	70	0.02	26	819000	Informational,Branded,Non-local	mla citation generator
free acs citation generator	70	4.5	2	22000	Informational,Non-branded,Non-local	acs citation generator
ieee citation format generator	70	2.5	4	9700	Informational,Branded,Non-local	ieee citation generator
ama citation format generator	70	3.0	8	32000	Informational,Branded,Non-local	ama citation generator
chicago generator citation	60	0.0	10	78000	Informational,Non-branded,Local	chicago citation generator
apa photo citation generator	60	1.6	22	10000	Informational,Non-branded,Non-local	how to cite a picture
ama generator citation	60	0.0	4	32000	Informational,Branded,Non-local	ama citation generator
citation generator apsa	60	0.0	1	2900	Informational,Branded,Non-local	apsa citation generator
image citation generator mla	60	0.0	2	2300	Informational,Branded,Non-local	image citation generator
chicago 17th citation generator	60	2.0	7	22000	Informational,Non-branded,Local	chicago style citation
blue book citation generator	60	1.7	3	5100	Informational,Non-branded,Non-local	bluebook citation generator
free asa citation generator	60	2.5	4	8400	Informational,Non-branded,Non-local	asa citation generator
patent citation generator	60	1.6	0	20	Informational,Non-branded,Non-local	patent citation generator
chicago 17 citation generator	60	2.0	7	34000	Informational,Branded,Non-local	chicago style citation generator
image apa citation generator	60	1.4	36	8100	Informational,Non-branded,Non-local	apa image citation
